U3042,あ
U3044,い
U3046,う
U3048,え
U304A,お
U304B,か
U304C,が
U304D,き
U304E,ぎ
U304F,く
U3050,ぐ
U3051,け
U3052,げ
U3053,こ
U3054,ご
U3055,さ
U3056,ざ
U3057,し
U3058,じ
U3059,す
U305A,ず
U305B,せ
U305C,ぜ
U305D,そ
U305E,ぞ
U305F,た
U3060,だ
U3061,ち
U3062,ぢ
U3064,つ
U3065,づ
U3066,て
U3067,で
U3068,と
U3069,ど
U306A,な
U306B,に
U306C,ぬ
U306D,ね
U306E,の
U306F,は
U3070,ば
U3071,ぱ
U3072,ひ
U3073,び
U3074,ぴ
U3075,ふ
U3076,ぶ
U3077,ぷ
U3078,へ
U3079,べ
U307A,ぺ
U307B,ほ
U307C,ぼ
U307D,ぽ
U307E,ま
U307F,み
U3080,む
U3081,め
U3082,も
U3084,や
U3086,ゆ
U3088,よ
U3089,ら
U308A,り
U308B,る
U308C,れ
U308D,ろ
U308F,わ
U3090,ゐ
U3091,ゑ
U3092,を
U3093,ん
